hillslopeprof,cogeomdkey,cosurfmorhppkey
<<<<<<< HEAD
Summit,27312507,11354587
Shoulder,27312507,11354588
Backslope,27312507,11354589
Summit,27312508,11354478
Shoulder,27312508,11354479
Backslope,27312508,11354480
Summit,27312509,11354603
Shoulder,27312509,11354604
Summit,27312510,11354605
Shoulder,27312510,11354606
Summit,27312527,11354757
Shoulder,27312527,11354758
Summit,27312528,11354890
Shoulder,27312528,11354891
Summit,27312530,11354615
Shoulder,27312530,11354616
Summit,27312531,11354617
Shoulder,27312531,11354618
=======
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Toeslope,27312685,11354961
Footslope,27312687,11354824
Toeslope,27312688,11354552
Footslope,27312691,11354827
Backslope,27312691,11354828
Shoulder,27312693,11354559
Backslope,27312693,11354560
Summit,27312693,11354561
Toeslope,27312695,11354554
Toeslope,27312697,11354829
Toeslope,27312699,11354563
Footslope,27312701,11354685
Backslope,27312701,11354686
Shoulder,27312702,11354965
Backslope,27312702,11354966
Summit,27312702,11354967
Toeslope,27312704,11354687
<<<<<<< HEAD
Summit,27312741,11354735
Summit,27312855,11354734
Summit,27312856,11354475
Shoulder,27312856,11354476
Backslope,27312856,11354477
Summit,27312876,11354775
Shoulder,27312876,11354776
Backslope,27312876,11354777
=======
Backslope,27312781,11354738
Backslope,27312881,11354754
Backslope,27312882,11354737
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Summit,27312957,11354553
Summit,27312958,11354825
Footslope,27312958,11354826
Summit,27312959,11354556
Backslope,27312959,11354557
Shoulder,27312959,11354558
Backslope,27312960,11354683
Summit,27312960,11354684
Summit,27312961,11354830
Shoulder,27312961,11354831
Backslope,27312961,11354832
<<<<<<< HEAD
=======
Footslope,27312964,11354804
Backslope,27312964,11354805
Toeslope,27312965,11354521
Shoulder,27312967,11354655
Backslope,27312967,11354656
Shoulder,27312969,11354801
Backslope,27312969,11354802
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Toeslope,27312995,11354799
Toeslope,27312998,11354936
Shoulder,27312999,11354650
Backslope,27312999,11354651
Summit,27312999,11354652
Footslope,27313002,11354934
Backslope,27313002,11354935
<<<<<<< HEAD
Summit,27313052,11354851
Shoulder,27313052,11354852
Backslope,27313052,11354853
=======
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Toeslope,27313134,11354962
Toeslope,27313135,11354551
Toeslope,27313136,11354555
Toeslope,27313137,11354963
Toeslope,27313138,11354562
Toeslope,27313139,11354964
<<<<<<< HEAD
Toeslope,27313152,11354539
Toeslope,27313153,11354670
Toeslope,27313155,11354646
Toeslope,27313156,11354800
Backslope,27313197,11354668
Summit,27313197,11354669
Summit,27313198,11354945
Backslope,27313198,11354946
=======
Toeslope,27313150,11354522
Toeslope,27313155,11354646
Toeslope,27313156,11354800
Backslope,27313191,11354803
Backslope,27313192,11354653
Shoulder,27313192,11354654
Shoulder,27313193,11354657
Backslope,27313193,11354658
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Summit,27313202,11354647
Shoulder,27313202,11354648
Backslope,27313202,11354649
Summit,27313203,11354519
Backslope,27313203,11354520
