recdate,comptextkind,textcat,textsubcat,text,cokey,cotextkey
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Bennington component makes up 85 percent of the map unit. Slopes are 0 to 2 percent. This component is on ground moraines on till plains. The parent material consists of Wisconsin loamy till derived from sandstone and shale. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 9 inches during January, February, March, April, May, November, December. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria.   ",17961214,17940878
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Cardington soil is a minor component.,17961215,17940879
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Condit soil is a minor component.,17961216,17940880
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Pewamo soil is a minor component.,17961217,17940881
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Condit soil is a minor component.,17961227,17940891
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Pewamo soil is a minor component.,17961228,17940892
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Cardington component makes up 85 percent of the map unit. Slopes are 2 to 6 percent. This component is on ground moraines on till plains. The parent material consists of Wisconsin loamy till derived from limestone, sandstone, and shale. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March, April, November, December. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 2 percent.  ",17961229,17940893
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Bennington soil is a minor component.,17961230,17940894
<<<<<<< HEAD
08/05/2019 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Condit soil is a minor component.,17961126,17940790
