featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Ochric epipedon,0,0,0,18,25,30,18,25,30,17961049,8833181
Argillic horizon,18,25,30,89,137,190,61,112,170,17961049,8833182
Aquic conditions,0,15,30,89,137,190,59,122,190,17961049,8833183
Argillic horizon,18,23,41,71,107,178,36,84,160,17961050,8833184
Ochric epipedon,0,0,0,18,23,41,18,23,41,17961050,8833185
Aquic conditions,15,22,30,71,107,178,46,85,160,17961050,8833186
Aquic conditions,0,15,30,200,200,200,170,185,200,17961051,8833187
Mollic epipedon,0,0,0,25,30,43,25,30,43,17961051,8833188
Argillic horizon,25,30,43,101,145,152,76,115,127,17961051,8833189
Mollic epipedon,0,0,0,25,30,46,25,30,46,17961123,8833274
Aquic conditions,0,0,15,200,200,200,185,200,200,17961123,8833275
Argillic horizon,25,30,46,71,96,141,38,66,96,17961123,8833276
Aquic conditions,15,22,30,71,102,137,41,80,122,17961124,8833277
Ochric epipedon,0,0,0,18,23,28,18,23,28,17961124,8833278
Argillic horizon,18,23,28,71,102,137,43,79,119,17961124,8833279
Aquic conditions,15,22,30,81,99,140,51,77,125,17961125,8833280
Argillic horizon,20,23,25,56,71,102,36,48,76,17961125,8833281
Ochric epipedon,0,0,0,20,23,25,20,23,25,17961125,8833282
Ochric epipedon,0,0,0,18,25,30,18,25,30,17961126,8833283
Argillic horizon,18,25,30,89,137,190,61,112,170,17961126,8833284
Aquic conditions,0,15,30,89,137,190,59,122,190,17961126,8833285
Aquic conditions,15,22,30,71,107,178,46,85,160,17961214,8833416
Ochric epipedon,0,0,0,18,25,41,18,25,41,17961214,8833417
Argillic horizon,18,25,41,71,107,178,36,82,160,17961214,8833418
Ochric epipedon,0,0,0,18,20,38,18,20,38,17961215,8833419
Argillic horizon,18,20,38,61,86,102,36,66,76,17961215,8833420
Aquic conditions,30,46,61,76,107,127,15,61,97,17961215,8833421
Ochric epipedon,0,0,0,18,25,30,18,25,30,17961216,8833422
Argillic horizon,18,25,30,89,137,190,61,112,170,17961216,8833423
Aquic conditions,0,15,30,89,137,190,59,122,190,17961216,8833424
Argillic horizon,25,30,43,101,145,152,76,117,127,17961217,8833425
Mollic epipedon,0,0,0,25,30,43,25,30,43,17961217,8833426
Aquic conditions,0,15,30,200,200,200,170,185,200,17961217,8833427
Mollic epipedon,0,0,0,25,30,43,25,30,43,17961218,8833428
Aquic conditions,0,15,30,200,200,200,170,185,200,17961218,8833429
Argillic horizon,25,30,43,101,145,152,76,115,127,17961218,8833430
Ochric epipedon,0,0,0,15,23,28,15,23,28,17961219,8833431
Argillic horizon,15,23,28,71,102,137,43,79,122,17961219,8833432
Aquic conditions,15,22,30,71,102,137,41,80,122,17961219,8833433
Aquic conditions,30,46,61,76,107,127,15,61,97,17961220,8833434
Ochric epipedon,0,0,0,18,20,28,18,20,28,17961220,8833435
Argillic horizon,18,20,28,61,86,102,36,66,76,17961220,8833436
Ochric epipedon,0,0,0,18,25,30,18,25,30,17961224,8833446
Argillic horizon,18,25,30,89,137,190,61,112,170,17961224,8833447
Aquic conditions,0,15,30,89,137,190,59,122,190,17961224,8833448
Ochric epipedon,0,0,0,18,25,30,18,25,30,17961227,8833455
Argillic horizon,18,25,30,89,137,190,61,112,170,17961227,8833456
Aquic conditions,0,15,30,89,137,190,59,122,190,17961227,8833457
Aquic conditions,0,15,30,200,200,200,170,185,200,17961228,8833458
Mollic epipedon,0,0,0,25,30,43,25,30,43,17961228,8833459
Argillic horizon,25,30,43,107,145,152,76,115,127,17961228,8833460
Aquic conditions,30,46,61,76,107,127,15,61,97,17961229,8833461
Ochric epipedon,0,0,0,18,23,28,18,23,28,17961229,8833462
Argillic horizon,18,23,28,61,86,102,36,63,76,17961229,8833463
Argillic horizon,15,23,28,71,102,137,43,79,122,17961230,8833464
Aquic conditions,15,22,30,71,102,137,41,80,122,17961230,8833465
Ochric epipedon,0,0,0,15,23,28,15,23,28,17961230,8833466
