structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Coarse,Prismatic,1,2,28350260,34604966
Weak,Coarse,Subangular blocky,2,NA,28350260,34604967
Moderate,Medium,Prismatic,1,2,28350261,34604968
Moderate,Medium,Subangular blocky,2,NA,28350261,34604969
Structureless,,Massive,NA,NA,28350265,34604975
Moderate,Medium,Granular,NA,NA,28350266,34604976
Moderate,Medium,Prismatic,1,2,28350268,34604979
Moderate,Medium,Subangular blocky,2,NA,28350268,34604980
Structureless,,Massive,NA,NA,28350269,34604981
Moderate,Coarse,Prismatic,NA,NA,28350270,34604982
<<<<<<< HEAD
Moderate,Coarse,Subangular blocky,NA,NA,28350278,34604994
Strong,Very fine and fine,Subangular blocky,NA,NA,28350316,34605045
Moderate,Coarse,Subangular blocky,NA,NA,28350358,34605095
Structureless,,Massive,NA,NA,28350408,34605158
Moderate,Medium and coarse,Prismatic,1,2,28350420,34605174
Moderate,Medium,Subangular blocky,2,NA,28350420,34605175
Weak,Coarse,Prismatic,NA,NA,28350421,34605176
Structureless,,Massive,NA,NA,28350422,34605177
=======
Moderate,Fine,Subangular blocky,NA,NA,28350331,34605063
Weak,Medium,Granular,NA,NA,28350338,34605071
Moderate,Coarse,Subangular blocky,NA,NA,28350358,34605095
Structureless,,Massive,NA,NA,28350408,34605158
Structureless,,Massive,NA,NA,28350470,34605237
Weak,Fine and medium,Granular,NA,NA,28350471,34605238
Structureless,,Massive,NA,NA,28350479,34605247
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Moderate,Medium,Granular,NA,NA,28350259,34604965
Moderate,Medium,Granular,NA,NA,28350262,34604970
Moderate,Coarse,Prismatic,1,2,28350263,34604971
Weak,Coarse,Subangular blocky,2,NA,28350263,34604972
Moderate,Coarse,Prismatic,1,2,28350267,34604977
Weak,Coarse,Subangular blocky,2,NA,28350267,34604978
<<<<<<< HEAD
Moderate,Medium,Subangular blocky,2,NA,28350276,34604991
Weak,Medium,Prismatic,1,2,28350276,34604992
Weak,Fine and medium,Granular,NA,NA,28350311,34605040
=======
Moderate,Medium,Subangular blocky,NA,NA,28350323,34605052
Weak,Medium,Subangular blocky,1,2,28350324,34605053
Moderate,Medium,Granular,2,NA,28350324,34605054
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Moderate,Medium,Subangular blocky,2,NA,28350357,34605093
Weak,Medium,Prismatic,1,2,28350357,34605094
Strong,Medium,Subangular blocky,2,NA,28350359,34605096
Weak,Medium,Prismatic,1,2,28350359,34605097
Moderate,Medium,Subangular blocky,NA,NA,28350360,34605098
<<<<<<< HEAD
Weak,Medium,Prismatic,1,2,28350384,34605131
,,Angular blocky,2,NA,28350384,34605132
Structureless,,Massive,NA,NA,28350404,34605153
Moderate,Medium,Subangular blocky,NA,NA,28350415,34605167
Structureless,,Massive,NA,NA,28350416,34605168
Moderate,Medium,Granular,NA,NA,28350423,34605178
Structureless,,Massive,NA,NA,28350496,34605272
Moderate,Medium,Prismatic,1,2,28350264,34604973
Moderate,Medium,Subangular blocky,2,NA,28350264,34604974
Weak,Medium,Subangular blocky,1,2,28350275,34604989
Moderate,Medium,Granular,2,NA,28350275,34604990
Structureless,,Massive,NA,NA,28350277,34604993
Weak,Medium,Granular,NA,NA,28350383,34605130
Structureless,,Massive,NA,NA,28350385,34605133
=======
Moderate,Medium,Subangular blocky,NA,NA,28350367,34605108
Structureless,,Massive,NA,NA,28350404,34605153
Moderate,Medium,Subangular blocky,NA,NA,28350415,34605167
Structureless,,Massive,NA,NA,28350416,34605168
Moderate,Medium and coarse,Subangular blocky,NA,NA,28350472,34605239
Structureless,,Massive,NA,NA,28350496,34605272
Moderate,Medium,Prismatic,1,2,28350264,34604973
Moderate,Medium,Subangular blocky,2,NA,28350264,34604974
Structureless,,Massive,NA,NA,28350306,34605034
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Moderate,Coarse,Subangular blocky,NA,NA,28350412,34605163
Moderate,Coarse,Subangular blocky,NA,NA,28350413,34605164
Weak,Medium,Subangular blocky,1,2,28350414,34605165
Weak,Medium,Granular,2,NA,28350414,34605166
<<<<<<< HEAD
=======
Moderate,Medium,Subangular blocky,NA,NA,28350463,34605230
Structureless,,Massive,NA,NA,28350473,34605240
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Weak,Medium,Subangular blocky,1,2,28350494,34605269
Weak,Medium,Granular,2,NA,28350494,34605270
Moderate,Medium,Subangular blocky,NA,NA,28350495,34605271
Weak,Fine,Granular,NA,NA,28350497,34605273
Moderate,Coarse,Prismatic,NA,NA,28350568,34605366
Moderate,Medium,Subangular blocky,NA,NA,28350569,34605367
Weak,Medium,Prismatic,1,2,28350571,34605370
Strong,Medium,Subangular blocky,2,NA,28350571,34605371
Moderate,Coarse,Prismatic,NA,NA,28350573,34605373
Strong,Medium,Subangular blocky,2,NA,28350575,34605376
Weak,Medium,Prismatic,1,2,28350575,34605377
<<<<<<< HEAD
Moderate,Medium,Subangular blocky,NA,NA,28350580,34605382
Moderate,Fine,Prismatic,1,2,28350326,34605056
Moderate,Fine,Angular blocky,2,NA,28350326,34605057
=======
Weak,Medium,Prismatic,1,2,28350305,34605032
Moderate,Medium,Subangular blocky,2,NA,28350305,34605033
Moderate,Medium,Subangular blocky,NA,NA,28350307,34605035
Weak,Medium,Granular,2,NA,28350308,34605036
Weak,Coarse,Subangular blocky,1,2,28350308,34605037
Weak,Medium,Subangular blocky,NA,NA,28350368,34605109
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Weak,Medium,Subangular blocky,1,2,28350405,34605154
Weak,Medium,Granular,2,NA,28350405,34605155
Moderate,Medium,Subangular blocky,NA,NA,28350406,34605156
Structureless,,Massive,NA,NA,28350407,34605157
Weak,Medium,Subangular blocky,1,2,28350409,34605159
Weak,Medium,Granular,2,NA,28350409,34605160
Moderate,Medium,Subangular blocky,NA,NA,28350410,34605161
Structureless,,Massive,NA,NA,28350411,34605162
<<<<<<< HEAD
=======
Weak,Medium,Subangular blocky,NA,NA,28350464,34605231
Structureless,,Massive,NA,NA,28350502,34605278
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Moderate,Medium,Subangular blocky,NA,NA,28350576,34605378
Moderate,Medium,Subangular blocky,NA,NA,28350572,34605372
Moderate,Medium,Subangular blocky,2,NA,28350574,34605374
Weak,Medium,Prismatic,1,2,28350574,34605375
<<<<<<< HEAD
Structureless,,Massive,NA,NA,28350608,34605416
Structureless,,Massive,NA,NA,28350612,34605421
Structureless,,Massive,NA,NA,28350653,34605476
Moderate,Fine,Granular,NA,NA,28350737,34605584
Weak,Fine,Granular,NA,NA,28350872,34605759
Weak,Medium,Subangular blocky,1,2,28350883,34605773
Weak,Medium,Granular,2,NA,28350883,34605774
Structureless,,Massive,NA,NA,28350884,34605775
Moderate,Medium and coarse,Subangular blocky,NA,NA,28350607,34605415
Weak,Medium,Prismatic,1,2,28350611,34605419
Moderate,Fine and medium,Subangular blocky,2,NA,28350611,34605420
Structureless,,Massive,NA,NA,28350738,34605585
Structureless,,Massive,NA,NA,28350773,34605627
=======
Structureless,,Massive,NA,NA,28350653,34605476
Moderate,Fine,Granular,NA,NA,28350665,34605490
Weak,Medium,Subangular blocky,1,2,28350699,34605535
Moderate,Medium,Granular,2,NA,28350699,34605536
Weak,Fine,Granular,NA,NA,28350872,34605759
Weak,Medium,Subangular blocky,NA,NA,28350666,34605491
Moderate,Medium,Granular,NA,NA,28350668,34605493
Moderate,Medium,Subangular blocky,NA,NA,28350700,34605537
Weak,Medium,Prismatic,NA,NA,28350717,34605560
Moderate,Medium,Subangular blocky,NA,NA,28350736,34605583
Structureless,,Massive,NA,NA,28350773,34605627
Structureless,,Massive,NA,NA,28350779,34605633
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Weak,Medium,Subangular blocky,1,2,28350874,34605761
Moderate,Medium,Granular,2,NA,28350874,34605762
Moderate,Medium,Subangular blocky,2,NA,28350570,34605368
Weak,Medium,Prismatic,1,2,28350570,34605369
<<<<<<< HEAD
Weak,Fine,Granular,NA,NA,28350581,34605383
=======
Structureless,,Massive,NA,NA,28350697,34605533
Moderate,Coarse,Subangular blocky,NA,NA,28350698,34605534
Weak,Medium,Subangular blocky,1,2,28350718,34605561
Moderate,Medium,Granular,2,NA,28350718,34605562
Weak,Medium,Subangular blocky,1,2,28350735,34605581
Moderate,Medium,Granular,2,NA,28350735,34605582
Moderate,Fine,Granular,NA,NA,28350742,34605590
Weak,Medium,Subangular blocky,NA,NA,28350750,34605598
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Weak,Medium,Subangular blocky,1,2,28350771,34605624
Moderate,Medium,Granular,2,NA,28350771,34605625
Structureless,,Massive,NA,NA,28350772,34605626
Structureless,,Massive,NA,NA,28350869,34605754
Weak,Medium,Subangular blocky,1,2,28350871,34605757
Moderate,Medium,Granular,2,NA,28350871,34605758
<<<<<<< HEAD
Weak,Medium,Prismatic,1,2,28350582,34605384
Moderate,Medium,Subangular blocky,2,NA,28350582,34605385
Weak,Coarse,Subangular blocky,NA,NA,28350583,34605386
=======
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Moderate,Coarse,Prismatic,1,2,28350651,34605472
Weak,Coarse,Subangular blocky,2,NA,28350651,34605473
Moderate,Medium,Prismatic,1,2,28350652,34605474
Moderate,Medium,Subangular blocky,2,NA,28350652,34605475
Moderate,Coarse,Prismatic,NA,NA,28350654,34605477
<<<<<<< HEAD
Moderate,Medium,Granular,NA,NA,28350774,34605628
=======
Structureless,,Massive,NA,NA,28350667,34605492
Moderate,Medium,Granular,NA,NA,28350774,34605628
Moderate,Fine,Granular,NA,NA,28350780,34605634
Weak,Medium,Prismatic,1,2,28350828,34605704
Moderate,Medium and coarse,Subangular blocky,2,NA,28350828,34605705
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Weak,Medium,Subangular blocky,1,2,28350870,34605755
Moderate,Medium,Granular,2,NA,28350870,34605756
Structureless,,Massive,NA,NA,28350873,34605760
Structureless,,Massive,NA,NA,28350875,34605763
Weak,Fine,Granular,NA,NA,28350876,34605764
Structureless,,Massive,NA,NA,28350877,34605765
<<<<<<< HEAD
Structureless,,Massive,NA,NA,28350885,34605776
=======
Moderate,Medium,Subangular blocky,2,NA,28350914,34605817
Weak,Medium,Prismatic,1,2,28350914,34605818
Weak,Medium,Subangular blocky,1,2,28350912,34605814
Weak,Medium,Granular,2,NA,28350912,34605815
Structureless,,Massive,NA,NA,28350913,34605816
Structureless,,Massive,NA,NA,28350915,34605819
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
