sfragcov.l,sfragcov.r,sfragcov.h,distrocks.l,distrocks.r,distrocks.h,sfragkind,sfragsize.l,sfragsize.r,sfragsize.h,sfragshp,sfraground,sfraghard,cokey,cosurffragskey
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961049,3632139
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961050,3632140
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Very strongly cemented,17961051,3632141
1,2,4,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961124,3632157
0,0.5,2,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961125,3632158
0.5,1,3,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961126,3632159
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961214,3632207
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961215,3632208
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961216,3632209
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Very strongly cemented,17961217,3632210
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Very strongly cemented,17961218,3632211
1,2,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961219,3632212
1,2,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961220,3632213
0.5,1,5,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961224,3632217
0.5,1,3,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961227,3632218
0.5,1,3,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961228,3632219
1,3,6,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961229,3632220
0,0,1,NA,NA,NA,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,17961229,3632221
1,2,4,NA,NA,NA,Mixed rock fragments,2,38,75,Nonflat,Subangular,Strongly cemented,17961230,3632222
